dbo,Commands,commandId,int,10,NO,YES,NO
dbo,Commands,phrase,nvarchar,255,YES,NO,NO
dbo,Commands,action,nvarchar,100,YES,NO,NO
dbo,commission_terminals,commissionTerminalId,int,10,NO,YES,NO
dbo,commission_terminals,provider,varchar,40,NO,NO,NO
dbo,commission_terminals,terminalName,varchar,80,NO,NO,NO
dbo,commission_terminals,paymentMethod,varchar,20,YES,NO,NO
dbo,commission_terminals,country,char,2,YES,NO,NO
dbo,commission_terminals,commissionRatePct,decimal,6,NO,NO,NO
dbo,commission_terminals,fixedFeeAmount,decimal,10,YES,NO,NO
dbo,commission_terminals,currency,char,3,YES,NO,NO
dbo,commission_terminals,isActive,bit,NULL,NO,NO,NO
dbo,commission_terminals,validFrom,datetime,NULL,NO,NO,NO
dbo,commission_terminals,validTo,datetime,NULL,YES,NO,NO
dbo,commission_terminals,createdAt,datetime,NULL,NO,NO,NO
dbo,commission_terminals,updatedAt,datetime,NULL,YES,NO,NO
dbo,companies,companyId,int,10,NO,YES,NO
dbo,companies,name,varchar,100,NO,NO,NO
dbo,companies,createdAt,datetime,NULL,YES,NO,NO
dbo,companies,updatedAt,datetime,NULL,YES,NO,NO
dbo,companiesBranch,branchId,int,10,NO,YES,NO
dbo,companiesBranch,name,varchar,100,NO,NO,NO
dbo,companiesBranch,active,varchar,1,YES,NO,NO
dbo,companiesBranch,createdAt,datetime,NULL,YES,NO,NO
dbo,companiesBranch,updatedAt,datetime,NULL,YES,NO,NO
dbo,companiesBranch,companyId,int,10,NO,NO,NO
dbo,company_modules,companyId,int,10,NO,YES,YES
dbo,company_modules,moduleId,int,10,NO,YES,YES
dbo,company_modules,active,bit,NULL,NO,NO,NO
dbo,contractors,contractorId,int,10,NO,YES,NO
dbo,contractors,employeeId,int,10,NO,NO,NO
dbo,contractors,contractingCompany,nvarchar,100,YES,NO,NO
dbo,contractors,contractStartDate,date,NULL,YES,NO,NO
dbo,contractors,contractEndDate,date,NULL,YES,NO,NO
dbo,contractors,createdAt,datetime,NULL,YES,NO,NO
dbo,costRules,ruleId,int,10,NO,YES,NO
dbo,costRules,channel,varchar,20,NO,NO,NO
dbo,costRules,category,nvarchar,200,YES,NO,NO
dbo,costRules,feePercent,decimal,9,NO,NO,NO
dbo,costRules,fixedFeeUsd,decimal,18,NO,NO,NO
dbo,costRules,adsPercent,decimal,9,NO,NO,NO
dbo,costRules,returnsRate,decimal,9,NO,NO,NO
dbo,costRules,avgReturnCostUsd,decimal,18,NO,NO,NO
dbo,costRules,packagingCostUsd,decimal,18,NO,NO,NO
dbo,costRules,otherCostUsd,decimal,18,NO,NO,NO
dbo,costRules,effectiveFrom,date,NULL,NO,NO,NO
dbo,costRules,effectiveTo,date,NULL,YES,NO,NO
dbo,costRules,market,char,2,NO,NO,NO
dbo,departments,departmentId,int,10,NO,YES,NO
dbo,departments,departmentName,nvarchar,100,NO,NO,NO
dbo,departments,createdAt,datetime,NULL,YES,NO,NO
dbo,employeeProjectAssignments,assignmentId,int,10,NO,YES,NO
dbo,employeeProjectAssignments,employeeId,int,10,NO,NO,NO
dbo,employeeProjectAssignments,projectId,int,10,NO,NO,NO
dbo,employeeProjectAssignments,assignmentStartDate,date,NULL,YES,NO,NO
dbo,employeeProjectAssignments,assignmentEndDate,date,NULL,YES,NO,NO
dbo,employeeProjectAssignments,createdAt,datetime,NULL,YES,NO,NO
dbo,employees,employeeId,int,10,NO,YES,NO
dbo,employees,firstName,nvarchar,50,NO,NO,NO
dbo,employees,lastName,nvarchar,50,NO,NO,NO
dbo,employees,email,nvarchar,100,NO,NO,NO
dbo,employees,phoneNumber,nvarchar,20,YES,NO,NO
dbo,employees,address,nvarchar,255,YES,NO,NO
dbo,employees,employmentTypeId,int,10,NO,NO,NO
